, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk02.h082,        2.18,        1.72,        0.00,        0.00,        0.65,        0.76,        0.00,        0.00
wk02.h083,        2.14,        1.72,        0.00,        0.00,        0.65,        0.78,        0.00,        0.00
wk02.h084,        2.02,        1.72,        0.00,        0.00,        0.65,        0.90,        0.00,        0.00
wk02.h085,        1.85,        1.72,        0.00,        0.00,        0.65,        1.01,        0.00,        0.00
wk02.h086,        1.57,        1.72,        0.00,        0.00,        0.65,        1.19,        0.00,        0.00
wk02.h087,        1.16,        1.72,        0.37,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h088,        0.98,        1.72,        0.48,        0.03,        0.65,        1.20,        0.00,        0.00
wk02.h089,        1.33,        1.72,        0.18,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h090,        1.58,        1.72,        0.15,        0.00,        0.65,        1.13,        0.00,        0.00
wk02.h091,        1.78,        1.72,        0.19,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h092,        1.27,        1.72,        1.19,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h093,        1.94,        1.72,        0.61,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h094,        2.14,        1.72,        0.43,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h095,        1.98,        1.72,        0.40,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h096,        2.15,        1.72,        0.29,        0.00,        0.65,        0.76,        0.00,        0.00
wk02.h097,        2.07,        1.72,        0.29,        0.00,        0.65,        0.58,        0.00,        0.00
wk02.h098,        2.06,        1.72,        0.29,        0.00,        0.65,        0.52,        0.00,        0.00
wk02.h099,        1.20,        1.72,        0.43,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h100,        1.12,        1.72,        0.54,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h101,        1.42,        1.72,        0.35,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h102,        1.42,        1.72,        0.62,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h103,        1.20,        1.72,        1.44,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h104,        1.19,        1.72,        2.09,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h105,        0.97,        1.72,        2.18,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h106,        0.75,        1.72,        2.36,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h107,        0.60,        1.72,        2.45,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h108,        0.48,        1.72,        2.46,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h109,        0.29,        1.72,        2.43,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h110,        0.27,        1.72,        2.27,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h111,        0.24,        1.72,        2.17,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h112,        0.40,        1.72,        1.88,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h113,        0.66,        1.72,        1.63,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h114,        0.59,        1.72,        1.85,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h115,        0.52,        1.72,        2.28,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h116,        0.52,        1.72,        2.67,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h117,        0.76,        1.72,        2.48,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h118,        0.79,        1.72,        2.34,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h119,        1.14,        1.72,        1.73,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h120,        1.17,        1.72,        1.31,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h121,        1.06,        1.72,        1.17,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h122,        0.89,        1.72,        1.21,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h123,        0.66,        1.72,        1.41,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h124,        0.72,        1.72,        1.40,        0.00,        0.65,        1.20,        0.00,        0.00
