, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h059,        1.57,        2.29,        0.65,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h060,        1.21,        2.29,        0.79,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h061,        1.05,        2.29,        0.70,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h062,        0.94,        2.29,        0.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h063,        0.56,        2.29,        0.87,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h064,        0.65,        2.29,        0.71,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h065,        0.27,        2.29,        1.15,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h066,        0.23,        2.29,        1.33,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h067,        0.45,        2.29,        1.45,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h068,        0.27,        2.29,        1.82,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h069,        0.40,        2.29,        1.61,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h070,        0.62,        2.29,        1.22,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h071,        0.89,        2.29,        0.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h072,        0.99,        2.29,        0.00,        0.00,        0.00,        1.60,        0.05,        0.00
wk01.h073,        0.80,        2.29,        0.00,        0.00,        0.00,        1.52,        0.00,        0.00
wk01.h074,        0.71,        2.29,        0.00,        0.00,        0.00,        1.43,        0.00,        0.00
wk01.h075,        1.00,        2.29,        0.00,        0.00,        0.00,        1.07,        0.00,        0.00
wk01.h076,        1.10,        2.29,        0.00,        0.00,        0.00,        0.97,        0.00,        0.00
wk01.h077,        1.06,        2.29,        0.00,        0.00,        0.00,        1.05,        0.00,        0.00
wk01.h078,        1.21,        2.29,        0.00,        0.00,        0.00,        1.13,        0.00,        0.00
wk01.h079,        1.37,        2.29,        0.00,        0.00,        0.00,        1.51,        0.00,        0.00
wk01.h080,        1.20,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h081,        1.13,        2.29,        0.66,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h082,        0.99,        2.29,        0.73,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h083,        0.67,        2.29,        1.00,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h084,        0.58,        2.29,        0.95,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h085,        0.62,        2.29,        0.82,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h086,        0.63,        2.29,        0.73,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h087,        0.55,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h088,        0.38,        2.29,        0.77,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h089,        0.41,        2.29,        0.76,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h090,        0.40,        2.29,        0.92,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h091,        0.31,        2.29,        1.43,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h092,        0.47,        2.29,        1.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h093,        0.63,        2.29,        1.46,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h094,        0.54,        2.29,        1.55,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h095,        0.54,        2.29,        1.28,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h096,        0.46,        2.29,        0.95,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h097,        0.98,        2.29,        0.17,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h098,        0.88,        2.29,        0.16,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h099,        1.18,        2.29,        0.00,        0.00,        0.00,        1.45,        0.00,        0.00
wk01.h100,        1.04,        2.29,        0.00,        0.00,        0.00,        1.55,        0.05,        0.00
wk01.h101,        1.06,        2.29,        0.15,        0.00,        0.00,        1.55,        0.00,        0.00
wk01.h102,        1.02,        2.29,        0.44,        0.00,        0.00,        1.55,        0.00,        0.00
wk01.h103,        0.81,        2.29,        1.13,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h104,        1.12,        2.29,        1.46,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h105,        2.01,        2.29,        0.44,        0.00,        0.00,        1.59,        0.00,        0.00
wk01.h106,        1.84,        2.29,        0.48,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h107,        2.00,        2.29,        0.29,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h108,        2.19,        2.29,        0.15,        0.00,        0.00,        1.46,        0.00,        0.00
wk01.h109,        2.13,        2.29,        0.00,        0.00,        0.00,        1.52,        0.00,        0.00
